,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
391,pribelskiy,-2.65,10,73.27,79,92,5.46,GA,1595647232
392,bure,-15.86,-38.88,66.2,88,14,4.7,BR,1595647414
393,henties bay,60.38,92.63,63.32,52,27,5.66,RU,1595647414
394,lompoc,68.05,166.44,82.45,38,8,13.11,RU,1595647414
395,barreirinha,-28.45,21.26,46.4,52,0,6.93,ZA,1595647415
396,anagni,39.28,-80.34,77,83,90,1.5,US,1595647415
397,karratha,24.09,32.91,85.24,21,0,8.5,EG,1595647415
398,kununurra,5.27,-3.6,75.2,100,75,5.82,CI,1595647415
399,karagaylinskiy,-34.73,135.87,57.94,72,0,4.05,AU,1595647251
400,calvinia,25.93,81.98,85.33,70,78,5.7,IN,1595647415
401,kemijarvi,66.77,123.37,71.29,60,100,15.79,RU,1595647254
402,spartanburg,12.31,122.59,83.89,72,99,2.35,PH,1595647416
403,velur,-24.02,21.87,43.47,65,0,10.65,BW,1595647416
404,eureka,-0.61,30.65,66.78,63,73,1.86,UG,1595647416
405,kanakapura,-8.13,113.22,80.19,56,93,6.11,ID,1595647416
406,manyana,60.4,-1.35,55.4,87,100,11.41,GB,1595647417
407,magadan,34.67,70.21,91.4,52,40,1.63,AF,1595647417
408,adelaide,-25.4,-70.48,56.8,37,0,6.98,CL,1595647235
409,fare,-35.33,-72.42,45.64,72,0,2.8,CL,1595647225
410,floresta,25.52,69.77,89.55,61,100,8.84,PK,1595647417
411,atka,22.28,113.57,97,75,20,10.29,CN,1595647238
412,wiarton,36.19,-94.13,84.2,74,40,4.7,US,1595647417
413,pak phanang,25.3,73.93,82.44,64,4,3.6,IN,1595647418
414,vardo,19.38,-69.85,79,89,95,8.63,DO,1595647418
415,grand river south east,18.73,-103.68,73.4,88,75,1.16,MX,1595647418
416,auki,37.2,-94.35,87.8,48,1,6.93,US,1595647418
417,puerto colombia,43.55,-96.7,84.2,70,75,13.87,US,1595647415
418,ust-maya,4.17,73.51,82.4,83,75,10.29,MV,1595647185
419,vao,39.07,63.58,82.4,30,0,9.17,TM,1595647419
420,grand-santi,-8.68,36.72,56.98,74,2,3.87,TZ,1595647419
421,patiya,20.93,-17.03,70.79,86,0,18.77,MR,1595647419
422,palabuhanratu,20.87,-90.4,82.99,79,78,12.39,MX,1595647255
423,arcata,-15.53,167.17,82.4,74,75,10.29,VU,1595647419
424,porbandar,66.83,70.83,60.89,58,35,11.39,RU,1595647237
425,gamba,36.37,6.61,64.4,88,20,2.24,DZ,1595647420
426,belmonte,46.49,-80.99,66.2,68,20,5.82,CA,1595647385
427,teya,39.25,117.79,95,32,89,4.47,CN,1595647420
428,bilibino,8.57,81.23,83.21,73,83,15.9,LK,1595647420
429,upington,67.67,12.69,52.32,88,100,0.63,NO,1595647325
430,clarksburg,23.93,88.25,85.5,73,35,6.62,IN,1595647420
431,aswan,23.45,-110.22,73,81,4,1.99,MX,1595647421
432,bonoua,43.8,87.6,82.4,34,0,8.95,CN,1595647212
433,port lincoln,-34.62,-68.33,43.72,52,0,6.38,AR,1595647361
434,bela,-3.89,-59.09,79.03,68,72,0.54,BR,1595647421
435,zhigansk,-19.39,-40.07,64.62,93,0,2.19,BR,1595647232
436,taclobo,-15.2,12.15,66.04,78,0,5.23,AO,1595647220
437,tshane,62.49,17.33,55,93,100,4.7,SE,1595647421
438,mbarara,31.61,34.76,73.99,61,0,2.68,IL,1595647241
439,lumajang,54.77,-101.86,69.48,69,5,6.31,CA,1595647421
440,bolungarvik,27.04,14.43,73.69,28,0,11.07,LY,1595647422
441,brae,48.55,-71.65,68,77,75,4.7,CA,1595647422
442,mehtar lam,24.8,125.28,86,79,75,8.05,JP,1595647422
443,taltal,43.48,-5.44,62.01,77,0,2.33,ES,1595647422
444,constitucion,51.31,39.22,53.6,81,0,4.47,RU,1595647422
445,chor,69.3,139.9,79.93,25,95,3.51,RU,1595647422
446,zhuhai,13.48,-88.18,75.18,91,72,2.24,SV,1595647420
447,springdale,-26.62,-54.13,53.78,95,100,4.61,AR,1595647423
448,amet,-28.77,114.6,66.2,45,0,18.34,AU,1595647244
449,nagua,-5.2,-35.46,71.6,88,59,4.7,BR,1595647257
450,coahuayana,8.23,77.33,84.2,79,75,4.7,IN,1595647423
451,jasper,42.43,68.8,82.4,42,92,2.24,KZ,1595647423
452,longlac,18.39,42.45,68,72,62,6.11,SA,1595647423
453,sioux falls,-4.51,-73.58,73.15,95,44,1.99,PE,1595647423
454,male,2.67,72.89,82.92,72,100,8.39,MV,1595647265
455,turkmenabat,18.1,-91.02,80.1,80,100,6.06,MX,1595647424
456,mahenge,37.89,58.52,84.2,48,20,9.17,TM,1595647424
457,nouadhibou,34.5,62,84.2,28,0,2.24,AF,1595647424
458,celestun,-19.98,57.61,68,57,41,11.01,MU,1595647262
459,luganville,20.02,-100.12,71.6,49,40,11.41,MX,1595647424
460,yar-sale,7.62,-11.83,73.2,91,100,2.66,SL,1595647424
461,constantine,23.8,83.7,82.4,70,100,1.3,IN,1595647424
462,sudbury,-19.53,-54.04,70.57,38,0,2.42,BR,1595647425
463,hangu,-11.96,-40.17,61.38,96,0,4.81,BR,1595647425
464,trincomalee,-31.43,152.92,64,77,65,6.76,AU,1595647348
465,sorland,-26.37,-70.05,37.96,72,0,2.64,CL,1595647425
466,beldanga,33.96,-118.19,71.01,72,1,5.82,US,1595647425
467,rungata,18.2,-73.75,80.42,80,7,6.2,HT,1595647426
468,todos santos,9.41,45.06,72.45,54,97,20.69,SO,1595647426
469,urumqi,20.52,-13.05,89.74,32,14,12.48,MR,1595647426
470,san rafael,47.49,-117.58,77,22,1,12.75,US,1595647195
471,nova olinda do norte,19.93,-105.25,77.38,84,100,3.11,MX,1595647426
472,linhares,-21.34,55.48,62.6,72,75,14.99,RE,1595647426
473,namibe,-0.73,-47.85,74.68,94,73,5.26,BR,1595647426
474,timra,40.43,71.72,80.6,44,0,6.93,UZ,1595646980
475,gat,59.14,68.9,60.84,57,15,5.23,RU,1595647427
476,flin flon,22.67,106.25,88.2,58,84,4.65,VN,1595647287
477,sabha,-6.42,20.8,65.48,40,3,2.75,CD,1595647427
478,alma,-7.6,-43.03,71.35,61,100,6.4,BR,1595647427
479,hirara,18.69,12.92,83.8,17,27,4.79,NE,1595647427
480,villaviciosa,8.12,-63.55,78.64,80,55,5.68,VE,1595647427
481,novovoronezh,5.4,125.46,83.46,68,90,1.5,PH,1595647428
482,deputatskiy,43.41,-124.22,64,77,1,24.16,US,1595647428
483,san miguel,-9.54,16.34,53.15,41,23,2.66,AO,1595647428
484,san vicente,65.85,74.49,60.33,54,0,11.7,RU,1595647428
485,geraldton,-9.9,-76.94,43.32,68,38,2.04,PE,1595647428
486,touros,13.31,7.16,78.49,73,1,9.17,NE,1595647429
487,padmanabhapuram,-3.67,152.43,84.9,73,8,11.36,PG,1595647429
488,arys,10.57,72.64,81.61,82,100,21.88,IN,1595647045
489,faya,47.6,-53.26,55.99,1,78,4.16,CA,1595647429
490,nauta,-25.3,152.85,69.01,94,12,5.99,AU,1595647429
491,kudahuvadhoo,-25.24,130.99,60.8,38,0,10.29,AU,1595647429
492,reforma,-33.75,-61.97,41.65,62,8,8.12,AR,1595647429
493,annau,10.28,22.79,71.42,95,68,5.14,CF,1595647429
494,herat,-45.87,-67.5,44.6,59,96,23.04,AR,1595647430
495,cap malheureux,49.78,-74.85,64.4,88,90,5.82,CA,1595647430
496,contepec,16.29,119.81,84.27,70,27,4.97,PH,1595647430
497,mattru,-1.68,33.7,65.86,57,6,4.25,TZ,1595647430
498,ramanuj ganj,65.58,22.15,55.4,87,94,9.17,SE,1595647430
499,camapua,-38.55,-58.74,37,88,10,8.01,AR,1595647430
500,baixa grande,-17.31,-53.22,64.74,44,50,3.09,BR,1595647430
501,marcona,49.98,92.07,73.72,41,26,2.46,MN,1595647431
502,port macquarie,38.73,-27.07,64.4,88,20,4.12,PT,1595647431
503,diego de almagro,-10.54,32.08,48.31,86,0,7.18,ZM,1595647431
504,cudahy,49.24,-124.8,66.99,62,56,1.92,CA,1595647431
505,les cayes,-23.35,47.6,61.34,80,64,6.2,MG,1595647431
506,odweyne,18.8,110.4,90.27,60,42,9.42,CN,1595647237
507,atar,43.75,-81.72,75,86,0,1.01,CA,1595647432
508,cheney,-20.57,164.28,77.5,71,33,7.07,NC,1595647432
509,tomatlan,49.63,142.17,54.39,93,96,3.87,RU,1595647432
510,saint-pierre,41.28,-70.1,64.4,93,1,3.56,US,1595647148
511,curuca,5.4,100.36,87.8,74,20,2.24,MY,1595647432
512,komsomolskiy,-4.08,-63.14,75.49,81,4,1.25,BR,1595647432
513,uvat,5.35,48.53,76.23,75,45,22.95,SO,1595647433
514,cao bang,10.37,10.73,72.16,93,63,5.08,NG,1595647324
515,tshikapa,66.15,-65.71,51.26,72,94,2.19,CA,1595647062
516,itaueira,6.8,81.48,78.8,94,75,4.7,LK,1595647433
517,bilma,-44.49,171.21,54,56,68,3,NZ,1595647433
518,ciudad bolivar,-13.2,49.05,70.02,51,96,5.19,MG,1595647255
519,sarangani,1.55,110.33,84.2,83,40,4.7,MY,1595647433
520,north bend,41.05,-0.13,69.01,70,0,5.01,ES,1595647433
521,ruatoria,-5.35,21.42,68.29,55,59,1.12,CD,1595647434
522,malanje,50.63,-96.99,82,99,41,7.07,CA,1595647434
523,pangody,0.54,123.06,83.48,76,29,6.58,ID,1595647434
524,fierze,-5.09,-81.11,63.03,84,18,14.23,PE,1595647434
525,huallanca,42.21,-121.74,78.8,22,1,14.99,US,1595647434
526,madarounfa,41.77,34.87,59.5,80,0,2.06,TR,1595647434
527,namatanai,57.94,69.02,61.41,64,32,5.95,RU,1595647434
528,kavaratti,20.34,-77.12,78.73,84,97,1.7,CU,1595647435
529,bay roberts,37.47,49.46,75.2,94,20,4.52,IR,1595647435
530,hervey bay,0.6,-80.03,73.42,85,78,5.26,EC,1595647435
531,yulara,-12.93,45.15,75.2,69,75,24.16,YT,1595647435
532,venado tuerto,64.5,-165.41,55.99,76,90,5.82,US,1595647435
533,birao,54.52,-128.6,59,72,75,20.8,CA,1595647320
534,comodoro rivadavia,18.47,120.58,87.8,70,75,4.7,PH,1595647386
535,chapais,13.98,10.27,78.01,82,0,5.01,NE,1595647435
536,catuday,-8.01,-34.86,78.8,74,40,14.99,BR,1595647436
537,mugango,-14.78,24.8,47.64,75,4,7.02,ZM,1595647436
538,lulea,-10.45,161.92,82.96,78,73,17.85,SB,1595647436
539,necochea,-27.85,26.37,39.88,66,0,3.31,ZA,1595647436
540,alto araguaia,0.07,42.75,74.97,78,21,11.9,SO,1595647436
541,ulaangom,50.27,85.61,62.69,79,92,2.42,RU,1595647436
542,praia da vitoria,1,-52,70.97,98,43,1.74,BR,1595647436
543,chinsali,33.73,135.98,77,88,75,11.41,JP,1595647436
544,port alberni,7.53,-12.51,75.4,86,100,8.68,SL,1595647232
545,vangaindrano,-7.3,27.42,68.99,39,0,10.27,CD,1595647437
546,halalo,64.57,143.2,87.62,23,93,1.95,RU,1595647237
547,inderborskiy,-10.07,-78.15,60.28,88,5,7.2,PE,1595647437
548,wanning,62.92,34.47,52.34,71,0,3.87,RU,1595647437
549,goderich,40.78,-74.22,75.99,94,75,4.7,US,1595647437
550,koumac,40.77,-72.85,73.4,88,75,2.62,US,1595647338
551,boshnyakovo,-2.54,14.75,71.38,71,27,3.96,CG,1595647438
552,nantucket,61.67,96.37,58.5,75,95,5.91,RU,1595647232
553,butterworth,27.98,94.67,80.6,94,75,4.7,IN,1595647438
554,coari,-10.62,150.67,79.57,85,48,14.94,PG,1595647384
555,hobyo,34.76,-112.45,68,77,90,4.7,US,1595647438
556,bara,4.93,-52.33,78.8,88,90,1.12,GF,1595647438
557,pangnirtung,41.14,-73.36,75.2,83,1,1.25,US,1595647438
558,wattegama,40.19,-92.58,78.8,88,1,6.93,US,1595647439
559,pareora,29.7,107.39,91.15,62,100,1.25,CN,1595647439
560,ambilobe,54.78,-127.17,60.8,55,75,9.17,CA,1595647439
561,kuching,-16.16,33.59,64.4,82,75,4.7,MZ,1595647439
562,alcaniz,44.81,44.25,74.66,49,22,11.45,RU,1595647439
563,luebo,50.1,-91.92,80.6,78,75,3.36,CA,1595647439
564,gimli,58.81,-122.7,62.6,82,75,5.82,CA,1595647263
565,gorontalo,46.7,-75.45,63.46,72,65,2.55,CA,1595647440
566,paita,-8.9,-35.15,74.28,80,41,11.88,BR,1595647440
567,altamont,61.36,63.58,60.57,54,12,6.46,RU,1595647440
568,tir pol,27.87,83.55,70.81,94,75,2.44,NP,1595647440
569,sinop,-0.72,8.78,75.18,80,90,11.21,GA,1595647234
570,vagay,36.32,41.88,79.56,34,0,2.1,IQ,1595647440
571,manzanillo,-0.36,42.55,76.62,78,16,19.04,SO,1595647440
572,bandar-e anzali,48.01,91.64,74.79,35,2,1.5,MN,1595647441
573,muisne,-17.47,16.33,55.4,45,0,4.7,NA,1595647266
574,chirongui,47.82,-79.87,66.2,72,1,8.05,CA,1595647441
575,nome,38,-3.5,81,37,0,2.86,ES,1595647441
576,terrace,53.38,142.96,60.53,63,1,7.96,RU,1595647441
